Capital IQ Company Screening Report > [Financial Ratio Bot] Chemical companies test case,,,,,,,,,,,,,
,,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual],Exchanges [Primary Listing],Exchanges [Secondary Listings]
PIMCO ETFs plc - PIMCO Covered Bond UCITS ETF (XTRA:COVR),XTRA:COVR,Financials (Primary),-, 182.75 ,-,-,-,-,-,-,-,XETRA Trading Platform (XTRA),"DB:COVR
Company:  PIMCO ETFs plc - PIMCO Covered Bond UCITS ETF
(IQT247794247) - Deutsche Boerse AG (DB)

LSE:0Y5B
Company:  PIMCO ETFs plc - PIMCO Covered Bond UCITS ETF
(IQT550740823) - London Stock Exchange (LSE)"
PIMCO ETFs plc - PIMCO Emerging Markets Advantage Local Bond Index UCITS ETF (LSE:EMLB),LSE:EMLB,Financials (Primary),-, 145.73 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"BIT:EMLI
Company: PIMCO ETFs plc - PIMCO Emerging Markets Advantage Local Bond Index UCITS ETF
(IQT384083357) - Borsa Italiana (BIT)

BMV:EMLB N
Company: PIMCO ETFs plc - PIMCO Emerging Markets Advantage Local Bond Index UCITS ETF
(IQT670601652) - Bolsa Mexicana de Valores (BMV)

SWX:EMLI
Company: PIMCO ETFs plc - PIMCO Emerging Markets Advantage Local Bond Index UCITS ETF
(IQT254238508) - SIX Swiss Exchange (SWX)

LSE:EMLP
Company: PIMCO ETFs plc - PIMCO Emerging Markets Advantage Local Bond Index UCITS ETF
(IQT264123333) - London Stock Exchange (LSE)

LSE:EMLI
Company: PIMCO ETFs plc - PIMCO Emerging Markets Advantage Local Bond Index UCITS ETF
(IQT254238509) - London Stock Exchange (LSE)"
PIMCO ETFs plc - PIMCO Euro Low Duration Corporate Bond UCITS ETF (XTRA:LDCE),XTRA:LDCE,Financials (Primary),-, 168.79 ,-,-,-,-,-,-,-,XETRA Trading Platform (XTRA),"DB:LDCE
Company: PIMCO ETFs plc - PIMCO Euro Low Duration Corporate Bond UCITS ETF
(IQT275053072) - Deutsche Boerse AG (DB)

BIT:LDCE
Company: PIMCO ETFs plc - PIMCO Euro Low Duration Corporate Bond UCITS ETF
(IQT384083355) - Borsa Italiana (BIT)

SWX:LDCE
Company: PIMCO ETFs plc - PIMCO Euro Low Duration Corporate Bond UCITS ETF
(IQT301543459) - SIX Swiss Exchange (SWX)

LSE:0Y6F
Company: PIMCO ETFs plc - PIMCO Euro Low Duration Corporate Bond UCITS ETF
(IQT550740822) - London Stock Exchange (LSE)"
PIMCO ETFs plc - PIMCO Euro Short Maturity UCITS ETF (XTRA:PJS1),XTRA:PJS1,Financials (Primary),-, 159.45 ,-,-,-,-,-,-,-,XETRA Trading Platform (XTRA),"DB:PJSR
Company:  PIMCO ETFs plc - PIMCO Euro Short Maturity UCITS ETF
(IQT301054767) - Deutsche Boerse AG (DB)

SWX:PJSR
Company:  PIMCO ETFs plc - PIMCO Euro Short Maturity UCITS ETF
(IQT297084237) - SIX Swiss Exchange (SWX)

LSE:0Y73
Company:  PIMCO ETFs plc - PIMCO Euro Short Maturity UCITS ETF
(IQT550740821) - London Stock Exchange (LSE)

LSE:0MTR
Company:  PIMCO ETFs plc - PIMCO Euro Short Maturity UCITS ETF
(IQT550663036) - London Stock Exchange (LSE)

XTRA:PJSR
Company:  PIMCO ETFs plc - PIMCO Euro Short Maturity UCITS ETF
(IQT301054766) - XETRA Trading Platform (XTRA)"
PIMCO ETFs plc - PIMCO Euro Short-Term High Yield Corporate Bond Index ETF (DB:EUHI),DB:EUHI,Financials (Primary),-, 15.75 ,-,-,-,-,-,-,-,Deutsche Boerse AG (DB),"BIT:EUHI
Company: PIMCO ETFs plc - PIMCO Euro Short-Term High Yield Corporate Bond Index ETF
(IQT542652402) - Borsa Italiana (BIT)

SWX:EUHA
Company: PIMCO ETFs plc - PIMCO Euro Short-Term High Yield Corporate Bond Index ETF
(IQT546157852) - SIX Swiss Exchange (SWX)

SWX:EUHI
Company: PIMCO ETFs plc - PIMCO Euro Short-Term High Yield Corporate Bond Index ETF
(IQT546157204) - SIX Swiss Exchange (SWX)

XTRA:EUHI
Company: PIMCO ETFs plc - PIMCO Euro Short-Term High Yield Corporate Bond Index ETF
(IQT543657984) - XETRA Trading Platform (XTRA)

XTRA:EUHA
Company: PIMCO ETFs plc - PIMCO Euro Short-Term High Yield Corporate Bond Index ETF
(IQT543617704) - XETRA Trading Platform (XTRA)"
PIMCO ETFs plc - PIMCO Sterling Short Maturity UCITS ETF (LSE:QUID),LSE:QUID,Financials (Primary),-, 191.79 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),-
PIMCO ETFs plc - PIMCO US Dollar Short Maturity UCITS ETF (LSE:MIST),LSE:MIST,Financials (Primary),-, 187.33 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"BIT:MINT
Company: PIMCO ETFs plc - PIMCO US Dollar Short Maturity UCITS ETF
(IQT253998386) - Borsa Italiana (BIT)

SWX:MINT
Company: PIMCO ETFs plc - PIMCO US Dollar Short Maturity UCITS ETF
(IQT243047655) - SIX Swiss Exchange (SWX)

LSE:MINT
Company: PIMCO ETFs plc - PIMCO US Dollar Short Maturity UCITS ETF
(IQT127669505) - London Stock Exchange (LSE)"
PIMCO ETFs plc - PIMCO US Low Duration Corporate Bond UCITS ETF (LSE:LDCU),LSE:LDCU,Financials (Primary),-, 142.6 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"BIT:LDCU
Company: PIMCO ETFs plc - PIMCO US Low Duration Corporate Bond UCITS ETF
(IQT384083356) - Borsa Italiana (BIT)

SWX:LDCU
Company: PIMCO ETFs plc - PIMCO US Low Duration Corporate Bond UCITS ETF
(IQT319276484) - SIX Swiss Exchange (SWX)

SWX:LDCC
Company: PIMCO ETFs plc - PIMCO US Low Duration Corporate Bond UCITS ETF
(IQT304985354) - SIX Swiss Exchange (SWX)

LSE:0DB5
Company: PIMCO ETFs plc - PIMCO US Low Duration Corporate Bond UCITS ETF
(IQT551874219) - London Stock Exchange (LSE)"
PIMCO ETFs plc - PIMCO US Short-Term High Yield Corporate Bond Index UCITS ETF (LSE:STYC),LSE:STYC,Financials (Primary),-, 178.81 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"BMV:STYC N
Company: PIMCO ETFs plc - PIMCO US Short-Term High Yield Corporate Bond Index UCITS ETF
(IQT670601655) - Bolsa Mexicana de Valores (BMV)

SWX:STEA
Company: PIMCO ETFs plc - PIMCO US Short-Term High Yield Corporate Bond Index UCITS ETF
(IQT546158075) - SIX Swiss Exchange (SWX)

SWX:STHS
Company: PIMCO ETFs plc - PIMCO US Short-Term High Yield Corporate Bond Index UCITS ETF
(IQT314662934) - SIX Swiss Exchange (SWX)

LSE:STEA
Company: PIMCO ETFs plc - PIMCO US Short-Term High Yield Corporate Bond Index UCITS ETF
(IQT545168993) - London Stock Exchange (LSE)

LSE:0DB6
Company: PIMCO ETFs plc - PIMCO US Short-Term High Yield Corporate Bond Index UCITS ETF
(IQT551874218) - London Stock Exchange (LSE)"
PIMCO Global Income Opportunities Fund (TSX:PGI.UN),TSX:PGI.UN,Financials (Primary),-, 10.62 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
PIMCO Global Short Maturity Fund (Canada) (TSX:PMNT),TSX:PMNT,Financials (Primary),-, 21.5 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
PIMCO Global StocksPLUS & Income Fund (NYSE:PGP),NYSE:PGP,Financials (Primary), 16.1 , 14.84 , 1.15 , (7.32)  , 7.11 , 0.493 ,-, 0.061 , 35.5 ,New York Stock Exchange (NYSE),-
PIMCO High Income Fund (NYSE:PHK),NYSE:PHK,Financials (Primary), 36.8 , 9.18 , 1.17 , (3.44)  , 2.91 , 0.389 ,-, 0.084 , 24.5 ,New York Stock Exchange (NYSE),-
PIMCO Income Opportunity Fund (NYSE:PKO),NYSE:PKO,Financials (Primary),-, 35.61 ,-,-,-,-,-,-,-,New York Stock Exchange (NYSE),-
PIMCO Income Strategy Fund (NYSE:PFL),NYSE:PFL,Financials (Primary), 18.2 , 17.09 , 1.2 , 9.1 , 6.21 , 0.332 ,-, 0.078 , 20.9 ,New York Stock Exchange (NYSE),-
PIMCO Income Strategy Fund II (NYSE:PFN),NYSE:PFN,Financials (Primary), 21.5 , 14.74 , 1.16 , 7.36 , 5.07 , 0.292 ,-, 0.076 , 19.0 ,New York Stock Exchange (NYSE),-
PIMCO Investment Grade Credit Fund (Canada) (TSX:IGCF),TSX:IGCF,Financials (Primary),-, 22.41 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
PIMCO Low Duration Monthly Income Fund (Canada) (TSX:PLDI),TSX:PLDI,Financials (Primary),-, 22.01 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
PIMCO Managed Conservative Bond Pool (TSX:PCON),TSX:PCON,Financials (Primary),-, 21.61 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
PIMCO Managed Core Bond Pool (TSX:PCOR),TSX:PCOR,Financials (Primary),-, 21.93 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
PIMCO Monthly Income Fund (Canada) (TSX:PMIF),TSX:PMIF,Financials (Primary),-, 21.9 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),"TSX:PMIF.U
Company: PIMCO Monthly Income Fund (Canada)
(IQT584279106) - The Toronto Stock Exchange (TSX)"
Pimco Mortgage Income Trust Inc. (NYSE:PMTG),NYSE:PMTG,Real Estate (Primary),-,-,-,-,-,-,-,-,-,New York Stock Exchange (NYSE),-
PIMCO Municipal Income Fund (NYSE:PMF),NYSE:PMF,Financials (Primary), 25.0 , 20.11 , 1.13 , (4.3)  , 3.38 , 0.187 ,-, 0.039 , 13.3 ,New York Stock Exchange (NYSE),-
PIMCO Municipal Income Fund II (NYSE:PML),NYSE:PML,Financials (Primary), 23.7 , 20.07 , 1.2 , (2.48)  , 3.95 , 6.07 ,-, 0.039 , 19.8 ,New York Stock Exchange (NYSE),-
PIMCO Municipal Income Fund III (NYSE:PMX),NYSE:PMX,Financials (Primary), 22.1 , 17.52 , 1.14 , (4.5)  , 3.98 , 0.251 ,-, 0.039 , 17.7 ,New York Stock Exchange (NYSE),-
PIMCO New York Municipal Income Fund (NYSE:PNF),NYSE:PNF,Financials (Primary), 34.4 , 17.19 , 1.08 , (3.17)  , 2.5 , 0.164 ,-, 0.036 , 15.8 ,New York Stock Exchange (NYSE),-
PIMCO New York Municipal Income Fund II (NYSE:PNI),NYSE:PNI,Financials (Primary), 30.0 , 16.09 , 1.04 , (5.08)  , 2.7 , 0.648 ,-, 0.036 , 15.9 ,New York Stock Exchange (NYSE),-
PIMCO New York Municipal Income Fund III (NYSE:PYN),NYSE:PYN,Financials (Primary), 37.1 , 14.29 , 1.17 , (3.97)  , 2.02 , 0.223 ,-, 0.037 , 12.4 ,New York Stock Exchange (NYSE),-
"PIMCO Strategic Income Fund, Inc. (NYSE:RCS)",NYSE:RCS,Financials (Primary), 25.0 , 10.46 , 1.18 , (4.4)  , 4.63 , 0.562 ,-, 0.027 , 40.6 ,New York Stock Exchange (NYSE),-
PIMCO Tactical Income Fund (TSX:PTI.UN),TSX:PTI.UN,Financials (Primary),-, 11.38 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
PIMCO Tactical Income Opportunities Fund (TSX:PTO.UN),TSX:PTO.UN,Financials (Primary),-, 10.88 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
Pincon Lifestyle Limited (BSE:539007),BSE:539007,Consumer Discretionary (Primary); Consumer Staples, 0.152 ,-, 0.037 ,-,-,-,-,-,-,Mumbai Stock Exchange (BSE),-
Pincon Spirit Limited (BSE:538771),BSE:538771,Consumer Staples (Primary), 0.654 ,-, 0.162 ,-,-,-,-,-,-,Mumbai Stock Exchange (BSE),"NSEI:PINCON
Company: Pincon Spirit Limited
(IQT364901511) - National Stock Exchange of India (NSEI)"
Pinduoduo Inc. (NasdaqGS:PDD),NasdaqGS:PDD,Consumer Discretionary (Primary),NM, 167.72 , 16.7 , 189.6 , (14.2)  , 1.76 , (11.3)  , 0.506 , 22.0 ,Nasdaq Global Select (NasdaqGS),"DB:9PDA
Company: Pinduoduo Inc.
(IQT575324199) - Deutsche Boerse AG (DB)

BMV:PDD N
Company: Pinduoduo Inc.
(IQT677489211) - Bolsa Mexicana de Valores (BMV)

LSE:0A2S
Company: Pinduoduo Inc.
(IQT634583014) - London Stock Exchange (LSE)"
Pine Care Group Limited (SEHK:1989),SEHK:1989,Health Care (Primary); Industrials; Real Estate, 177.2 , 0.19 , 5.19 , 12.9 , 1.57 , 0.704 , 14.7 , 0.263 , 76.9 ,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Pine Cliff Energy Ltd. (TSX:PNE),TSX:PNE,Energy (Primary); Materials; Materials,NM, 0.436 ,NM, (0.207)  ,NM, 1.2 , 20.2 , 0.33 , 240.2 ,The Toronto Stock Exchange (TSX),"DB:IPC
Company: Pine Cliff Energy Ltd.
(IQT260452758) - Deutsche Boerse AG (DB)"
Pine Island Acquisition Corp. (NYSE:PIPP),NYSE:PIPP,Financials (Primary),-, 13.06 , 53.3 ,-,-, 5.2 ,-,-,-,New York Stock Exchange (NYSE),"NYSE:PIPP.U
Company: Pine Island Acquisition Corp.
(IQT693232506) - New York Stock Exchange (NYSE)"
Pine Technology Acquisition Corp. (NasdaqCM:PTOC),NasdaqCM:PTOC,Financials (Primary),-, 13.02 ,-,-,-,-,-,-,-,Nasdaq Capital Market (NasdaqCM),"NasdaqCM:PTOC.U
Company: Pine Technology Acquisition Corp.
(IQT705178330) - Nasdaq Capital Market (NasdaqCM)"
PINE Technology Holdings Limited (SEHK:1079),SEHK:1079,Information Technology (Primary); Consumer Discretionary; Financials; Industrials,NM, 0.017 , 0.57 , (46.4)  , (16.7)  , 3.0 , (12.9)  , 1.61 , 3.91 ,The Stock Exchange of Hong Kong Ltd. (SEHK),"DB:PNY
Company: PINE Technology Holdings Limited
(IQT46323907) - Deutsche Boerse AG (DB)"
Pineapple Power Corporation plc (LSE:PNPL),LSE:PNPL,Financials (Primary),NM, 0.13 ,NM,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:8JZ
Company: Pineapple Power Corporation plc
(IQT670615912) - Deutsche Boerse AG (DB)"
Pinebridge CSI Photovaltic Index ETF (SHSE:515790),SHSE:515790,Financials (Primary),-, 0.27 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
Pinestone Capital Limited (SEHK:804),SEHK:804,Financials (Primary),NM, 0.009 , 1.22 , (5.96)  , (8.6)  , 6.99 ,-, 0.131 , 0.88 ,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Pinetree Capital Ltd. (TSX:PNP),TSX:PNP,Financials (Primary), 3.26 , 2.22 , 0.86 ,-, 30.0 , 5.53 ,-, 0.089 , 1.07 ,The Toronto Stock Exchange (TSX),-
"Ping An Bank Co., Ltd. (SZSE:000001)",SZSE:000001,Financials (Primary), 16.3 , 4.74 , 1.29 , 10.1 , 8.42 ,-,-,-,-,Shenzhen Stock Exchange (SZSE),-
Ping An China Bond - Medium-High Grade Corporate Bond Spread factors ETF,-,Financials (Primary),-,-,-,-,-,-,-,-,-,-,"SHSE:511030
Company: Ping An China Bond - Medium-High Grade Corporate Bond Spread factors ETF
(IQT621588458) - Shanghai Stock Exchange (SHSE)"
PING AN ChinaBond 0-5 Year Guangdong Province Local Govt Bond ETF (SZSE:159988),SZSE:159988,Financials (Primary),-, 0.212 ,-,-,-,-,-,-,-,Shenzhen Stock Exchange (SZSE),-
Ping An ChiNext ETF (SZSE:159964),SZSE:159964,Financials (Primary),-, 0.431 ,-,-,-,-,-,-,-,Shenzhen Stock Exchange (SZSE),-
Ping An CSI 500 ETF Fund (SHSE:510590),SHSE:510590,Financials (Primary),-, 1.54 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
Ping An Da Hua Fund Management Co - Pingan-UOB Traded MMK Fund (SHSE:511700),SHSE:511700,Financials (Primary),-, 20.79 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
Ping An Dinghong Mixed Fund(LOF) (SZSE:167003),SZSE:167003,Financials (Primary),-, 0.231 ,-,-,-,-,-,-,-,Shenzhen Stock Exchange (SZSE),-
Ping An Dingtai Flexible Allocation Mixed Fund (LOF) (SZSE:167001),SZSE:167001,Financials (Primary),-, 0.35 ,-,-,-,-,-,-,-,Shenzhen Stock Exchange (SZSE),-
Ping An Dingyue Flexible Allocation Mixed Fund (LOF) (SZSE:167002),SZSE:167002,Financials (Primary),-, 0.468 ,-,-,-,-,-,-,-,Shenzhen Stock Exchange (SZSE),-
Ping An Fund Management Co Ltd - CSI Artificial Intelligence ETF (SHSE:512930),SHSE:512930,Financials (Primary),-, 0.334 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
Ping An Fund Management Co Ltd - Ping An CSI Guangdong -HK- Macao Greater Bay Area Dev Thematic Fund (SHSE:512970),SHSE:512970,Financials (Primary),-, 0.313 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
Ping An Fund Management Company - CSI Live Stock Breeding Fund (SHSE:516760),SHSE:516760,Financials (Primary),-, 0.185 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
Ping An Fund Management Company Limited - Pa Sci Tech Invt 3Y Closed Mixed Fund (SHSE:501099),SHSE:501099,Financials (Primary),-, 0.34 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
Ping An Fund Management Company Limited - Photovoltaic Industry Fund (SHSE:516180),SHSE:516180,Financials (Primary),-, 0.215 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
Ping An Fund Management Company Ltd. - PA CSI New Energy Automobile ETF (SHSE:515700),SHSE:515700,Financials (Primary),-, 0.549 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
Ping An Guangzhou Comm Invest Guanghe Expressway (SZSE:180201),SZSE:180201,Real Estate (Primary),-, 2.7 ,-,-,-,-,-,-,-,Shenzhen Stock Exchange (SZSE),-
Ping An Healthcare and Technology Company Limited (SEHK:1833),SEHK:1833,Health Care (Primary); Consumer Discretionary; Financials,NM, 16.6 , 5.86 , 54.3 , (7.43)  , 5.72 , (8.81)  , 0.444 , 0.714 ,The Stock Exchange of Hong Kong Ltd. (SEHK),"DB:1XZ
Company: Ping An Healthcare and Technology Company Limited
(IQT597771596) - Deutsche Boerse AG (DB)"
Ping An Hong Kong Stock Through Hang Seng China Enterprise ETF Fund (SZSE:159960),SZSE:159960,Financials (Primary),-, 0.218 ,-,-,-,-,-,-,-,Shenzhen Stock Exchange (SZSE),-
"Ping An Insurance (Group) Company of China, Ltd. (SEHK:2318)",SEHK:2318,Financials (Primary); Communication Services; Industrials; Information Technology; Materials; Materials; Real Estate, 8.15 , 13.47 , 1.56 , 6.88 , 17.0 , 3.24 , 18.5 , 0.14 , 62.9 ,The Stock Exchange of Hong Kong Ltd. (SEHK),"SHSE:601318
Company: Ping An Insurance (Group) Company of China, Ltd.
(IQT32844516) - Shanghai Stock Exchange (SHSE)

DB:PZX
Company: Ping An Insurance (Group) Company of China, Ltd.
(IQT20118092) - Deutsche Boerse AG (DB)

DB:PZXB
Company: Ping An Insurance (Group) Company of China, Ltd.
(IQT662783417) - Deutsche Boerse AG (DB)

BMV:PNGAY N
Company: Ping An Insurance (Group) Company of China, Ltd.
(IQT320915893) - Bolsa Mexicana de Valores (BMV)"
Ping An Of China Asset Management (Hong Kong) Company Ltd - Ping An MSCI China Quality Factor ETF (SEHK:3166),SEHK:3166,Financials (Primary),-,-,-,-,-,-,-,-,-,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Ping An of China Trust - Ping An MSCI China Multi-Factor ETF (SEHK:3163),SEHK:3163,Financials (Primary),-,-,-,-,-,-,-,-,-,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Ping An of China Trust - Ping An Nasdaq 5HANDL ETF (SEHK:3198),SEHK:3198,Financials (Primary),-,-,-,-,-,-,-,-,-,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Ping An of China Trust - Ping An Nasdaq AI and Robotics ETF (SEHK:3023),SEHK:3023,Financials (Primary),-, 24.62 ,-,-,-,-,-,-,-,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Ping An of China Trust - Ping An of China CSI 5-10Y CGB ETF (SEHK:3080),SEHK:3080,Financials (Primary),-, 22.69 ,-,-,-,-,-,-,-,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Ping An of China Trust - Ping An of China CSI HK Dividend ETF (SEHK:3070),SEHK:3070,Financials (Primary),-, 4.73 ,-,-,-,-,-,-,-,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Ping An Securities Group (Holdings) Limited (SEHK:231),SEHK:231,Financials (Primary); Real Estate,NM,-,NM, (43.1)  ,NM, 0.032 ,-, 0.004 ,NM,The Stock Exchange of Hong Kong Ltd. (SEHK),-
Ping An Uob Fund Management Co Ltd - Ping An Uob MSCI China A International\Registered\Open-End ETF (SHSE:512360),SHSE:512360,Financials (Primary),-, 0.368 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
Ping An Uob Fund Management Company Limited - Msci Minimum Volatility ETF (SHSE:512390),SHSE:512390,Financials (Primary),-, 0.318 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
PING AN-UOB CSI 5-10 Year CGB Benchmark ETF (SHSE:511020),SHSE:511020,Financials (Primary),-, 21.99 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
Ping Identity Holding Corp. (NYSE:PING),NYSE:PING,Information Technology (Primary),NM, 31.81 , 2.68 ,-, (3.28)  , 2.88 , (8.2)  , 0.261 , 19.1 ,New York Stock Exchange (NYSE),-
Pingan-Uob CSI 300 Index ETF (SHSE:510390),SHSE:510390,Financials (Primary),-, 1.14 ,-,-,-,-,-,-,-,Shanghai Stock Exchange (SHSE),-
"Pingdingshan Tianan Coal. Mining Co., Ltd. (SHSE:601666)",SHSE:601666,Energy (Primary); Materials; Materials, 10.8 , 1.46 , 1.08 , 4.77 , 10.6 , 0.588 , 26.3 , 0.415 , 48.1 ,Shanghai Stock Exchange (SHSE),-
Pingtan Marine Enterprise Ltd. (NasdaqCM:PME),NasdaqCM:PME,Consumer Staples (Primary); Industrials, 12.5 , 1.25 , 0.493 , 14.8 , 4.01 , 1.04 , 23.1 , 0.275 , 59.5 ,Nasdaq Capital Market (NasdaqCM),"DB:2P5
Company: Pingtan Marine Enterprise Ltd.
(IQT252108650) - Deutsche Boerse AG (DB)"
Pininfarina S.p.A. (BIT:PINF),BIT:PINF,Consumer Discretionary (Primary); Industrials,NM, 1.56 , 1.54 , (8.29)  , (66.7)  , 1.35 , (28.2)  , 0.584 , 43.8 ,Borsa Italiana (BIT),"DB:PNF
Company: Pininfarina S.p.A.
(IQT20159849) - Deutsche Boerse AG (DB)

LSE:0FNI
Company: Pininfarina S.p.A.
(IQT38006123) - London Stock Exchange (LSE)"
"Pinlive Foods Co., Ltd. (SZSE:300892)",SZSE:300892,Consumer Staples (Primary), 29.5 , 9.82 , 4.3 ,-, 19.6 , 4.11 , 11.8 , 1.4 ,-,Shenzhen Stock Exchange (SZSE),-
Pinnacle Core High Dividend ETF (IDX:XPDV),IDX:XPDV,Financials (Primary),-, 0.037 ,-,-,-,-,-,-,-,Indonesia Stock Exchange (IDX),-
Pinnacle Enhanced Liquid ETF (IDX:XPLQ),IDX:XPLQ,Financials (Primary),-,-,-,-,-,-,-,-,-,Indonesia Stock Exchange (IDX),-
