Capital IQ Company Screening Report > [Financial Ratio Bot] Chemical companies test case,,,,,,,,,,,,,
,,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual],Exchanges [Primary Listing],Exchanges [Secondary Listings]
iShares S&P 500 Fundo de Investimento - Investimento No Exterior (BOVESPA:IVVB11),BOVESPA:IVVB11,Financials (Primary),-, 62.15 ,-,-,-,-,-,-,-,Bolsa de Valores de Sao Paulo (BOVESPA),-
iShares S&P 500 JPY Hedged ETF (TSE:2563),TSE:2563,Financials (Primary),-, 33.85 ,-,-,-,-,-,-,-,The Tokyo Stock Exchange (TSE),-
iShares S&P 500 Peso Hedged TRAC (BMV:IVVPESO ISHRS),BMV:IVVPESO ISHRS,Financials (Primary),-, 5.1 ,-,-,-,-,-,-,-,Bolsa Mexicana de Valores (BMV),-
iShares S&P Global Consumer Discretionary Index ETF (CAD-Hedged) (TSX:XCD),TSX:XCD,Financials (Primary),-, 57.11 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P Global Industrials Index ETF (CAD-Hedged) (TSX:XGI),TSX:XGI,Financials (Primary),-, 44.97 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P GSCI Commodity-Indexed Trust (ARCA:GSG),ARCA:GSG,Financials (Primary), 3.48 , 21.3 , 1.14 , (53.5)  , 36.9 , 253.4 ,-, 0.005 ,-,-,"BMV:GSG *
Company: iShares S&P GSCI Commodity-Indexed Trust
(IQT44531754) - Bolsa Mexicana de Valores (BMV)"
iShares S&P U.S. Mid-Cap Index ETF (CAD-Hedged) (TSX:XMH),TSX:XMH,Financials (Primary),-, 27.2 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P U.S. Mid-Cap Index ETF (TSX:XMC),TSX:XMC,Financials (Primary),-, 27.73 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),"TSX:XMC.U
Company: iShares S&P U.S. Mid-Cap Index ETF
(IQT634550911) - The Toronto Stock Exchange (TSX)"
iShares S&P U.S. Small-Cap Index ETF (CAD-Hedged) (TSX:XSMH),TSX:XSMH,Financials (Primary),-, 31.37 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P U.S. Small-Cap Index ETF (TSX:XSMC),TSX:XSMC,Financials (Primary),-, 30.44 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P/ASX 20 ETF (ASX:ILC),ASX:ILC,Financials (Primary),-, 29.49 ,-,-,-,-,-,-,-,Australian Securities Exchange (ASX),-
iShares S&P/ASX Dividend Opportunities ETF (ASX:IHD),ASX:IHD,Financials (Primary),-, 14.37 ,-,-,-,-,-,-,-,Australian Securities Exchange (ASX),-
iShares S&P/ASX Small Ordinaries ETF (ASX:ISO),ASX:ISO,Financials (Primary),-, 5.9 ,-,-,-,-,-,-,-,Australian Securities Exchange (ASX),-
iShares S&P/TSX 60 Index ETF (TSX:XIU),TSX:XIU,Financials (Primary), 17.6 , 33.19 , 1.17 , (14.3)  , 7.18 , 28.9 ,-, 0.072 ,-,The Toronto Stock Exchange (TSX),"BMV:XIU *
Company: iShares S&P/TSX 60 Index ETF
(IQT31775034) - Bolsa Mexicana de Valores (BMV)"
iShares S&P/TSX Canadian Dividend Aristocrats Index ETF (TSX:CDZ),TSX:CDZ,Financials (Primary),-, 33.82 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX Canadian Preferred Share Index ETF (TSX:CPD),TSX:CPD,Financials (Primary),-, 14.96 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX Capped Consumer Staples Index ETF (TSX:XST),TSX:XST,Financials (Primary),-, 75.09 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX Capped Energy Index ETF (TSX:XEG),TSX:XEG,Financials (Primary),NM, 9.66 , 1.56 ,-, (17.5)  , 181.7 ,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX Capped Financials Index ETF (TSX:XFN),TSX:XFN,Financials (Primary), 37.2 , 50.8 , 1.22 , (33.3)  , 3.34 , 1.17 ,-, 0.039 ,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX Capped Information Technology Index ETF (TSX:XIT),TSX:XIT,Financials (Primary), 3.77 , 57.39 , 1.18 , 140.5 , 36.0 , 92.9 ,-, 0.363 ,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX Capped Materials Index ETF (TSX:XMA),TSX:XMA,Financials (Primary),-, 18.89 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX Capped REIT Index ETF (TSX:XRE),TSX:XRE,Financials (Primary),NM, 20.88 , 1.19 ,-, (16.3)  , 108.1 ,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX Capped Utilities Index ETF (TSX:XUT),TSX:XUT,Financials (Primary),-, 32.67 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX Completion Index ETF (TSX:XMD),TSX:XMD,Financials (Primary), 120.3 , 33.61 , 1.12 , (44.6)  , 0.939 , 224.9 ,-, 0.015 ,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX Composite High Dividend Index ETF (TSX:XEI),TSX:XEI,Financials (Primary),-, 26.02 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX Global Base Metals Index ETF (TSX:XBM),TSX:XBM,Financials (Primary),-, 19.44 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX Global Gold Index ETF (TSX:XGD),TSX:XGD,Financials (Primary), 6.95 , 19.9 , 0.933 , 125.4 , 15.3 , 464.4 ,-, 0.161 ,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX North American Preferred Stock Index ETF (CAD-Hedged) (TSX:XPF),TSX:XPF,Financials (Primary),-, 19.66 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P/TSX SmallCap Index ETF (TSX:XCS),TSX:XCS,Financials (Primary),-, 21.56 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares S&P/Valmer Mexico CETETRAC (BMV:CETETRC ISHRS),BMV:CETETRC ISHRS,Financials (Primary),-, 7.1 ,-,-,-,-,-,-,-,Bolsa Mexicana de Valores (BMV),-
iShares S&P/Valmer Mexico M10TRAC (BMV:M10TRAC ISHRS),BMV:M10TRAC ISHRS,Financials (Primary),-, 6.45 ,-,-,-,-,-,-,-,Bolsa Mexicana de Valores (BMV),-
iShares S&P/VALMER Mexico M5TRAC (BMV:M5TRAC ISHRS),BMV:M5TRAC ISHRS,Financials (Primary),-, 5.78 ,-,-,-,-,-,-,-,Bolsa Mexicana de Valores (BMV),-
iShares S&P/VALMER Mexico UDITRAC (BMV:UDITRAC ISHRS),BMV:UDITRAC ISHRS,Financials (Primary),-, 9.16 ,-,-,-,-,-,-,-,Bolsa Mexicana de Valores (BMV),-
iShares Short Duration High Income ETF (CAD-Hedged),-,Financials (Primary),-,-,-,-,-,-,-,-,-,-,"TSX:CSD
Company: iShares Short Duration High Income ETF (CAD-Hedged)
(IQT127747100) - The Toronto Stock Exchange (TSX)"
iShares Short Term High Quality Canadian Bond Index ETF (TSX:XSQ),TSX:XSQ,Financials (Primary),-, 21.49 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares Short Term Strategic Fixed Income ETF (TSX:XSI),TSX:XSI,Financials (Primary),-, 20.58 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),-
iShares Silver Bullion ETF (TSX:SVR),TSX:SVR,Financials (Primary),-, 14.53 ,-,-,-,-,-,-,-,The Toronto Stock Exchange (TSX),"TSX:SVR.C
Company: iShares Silver Bullion ETF
(IQT127899374) - The Toronto Stock Exchange (TSX)"
iShares Silver Trust (ARCA:SLV),ARCA:SLV,Financials (Primary), 2.91 , 32.51 , 1.09 ,-, 49.8 ," 2,140.5 ",-,-,-,-,"BMV:SLV *
Company: iShares Silver Trust
(IQT47010023) - Bolsa Mexicana de Valores (BMV)

LSE:0JKC
Company: iShares Silver Trust
(IQT549551139) - London Stock Exchange (LSE)"
iShares SLI UCITS ETF (DE) (SWX:SMIEX),SWX:SMIEX,Financials (Primary),-, 195.07 ,-,-,-,-,-,-,-,SIX Swiss Exchange (SWX),"DB:EXI1
Company: iShares SLI UCITS ETF (DE)
(IQT208561918) - Deutsche Boerse AG (DB)

LSE:0MLK
Company: iShares SLI UCITS ETF (DE)
(IQT244592188) - London Stock Exchange (LSE)

N/A
Company: iShares SLI UCITS ETF (DE)
(IQT54842729) - XETRA Trading Platform (XTRA)"
iShares Southeast Asia Trust - iShares Barclays USD Asia High Yield Bond Index ETF (SGX:O9P),SGX:O9P,Financials (Primary),-, 13.64 ,-,-,-,-,-,-,-,Singapore Exchange (SGX),"SGX:QL3
Company: iShares Southeast Asia Trust - iShares Barclays USD Asia High Yield Bond Index ETF
(IQT208774404) - Singapore Exchange (SGX)"
iShares Southeast Asia Trust - iShares J.P. Morgan USD Asia Credit Bond Index ETF (SGX:N6M),SGX:N6M,Financials (Primary),-, 14.88 ,-,-,-,-,-,-,-,Singapore Exchange (SGX),"SGX:QL2
Company: iShares Southeast Asia Trust - iShares J.P. Morgan USD Asia Credit Bond Index ETF
(IQT208774403) - Singapore Exchange (SGX)"
iShares Southeast Asia Trust - iShares MSCI India Index ETF (SGX:I98),SGX:I98,Financials (Primary),-, 15.23 ,-,-,-,-,-,-,-,Singapore Exchange (SGX),"SGX:QK9
Company: iShares Southeast Asia Trust - iShares MSCI India Index ETF
(IQT209306234) - Singapore Exchange (SGX)"
iShares STOXX Europe 50 UCITS ETF (DE) (XTRA:EXW3),XTRA:EXW3,Financials (Primary),-, 55.98 ,-,-,-,-,-,-,-,XETRA Trading Platform (XTRA),"DB:EXW3
Company: iShares STOXX Europe 50 UCITS ETF (DE)
(IQT208562293) - Deutsche Boerse AG (DB)

SWX:DJSXP
Company: iShares STOXX Europe 50 UCITS ETF (DE)
(IQT244923256) - SIX Swiss Exchange (SWX)

LSE:0MLI
Company: iShares STOXX Europe 50 UCITS ETF (DE)
(IQT99769185) - London Stock Exchange (LSE)"
iShares STOXX Europe 600 UCITS ETF (DE) (XTRA:EXSA),XTRA:EXSA,Financials (Primary),-, 72.37 ,-,-,-,-,-,-,-,XETRA Trading Platform (XTRA),"DB:EXSA
Company: iShares STOXX Europe 600 UCITS ETF (DE)
(IQT134330125) - Deutsche Boerse AG (DB)

BMV:EXSA N
Company: iShares STOXX Europe 600 UCITS ETF (DE)
(IQT110019885) - Bolsa Mexicana de Valores (BMV)

SWX:SXPIEX
Company: iShares STOXX Europe 600 UCITS ETF (DE)
(IQT299056083) - SIX Swiss Exchange (SWX)

LSE:0MLD
Company: iShares STOXX Europe 600 UCITS ETF (DE)
(IQT244748543) - London Stock Exchange (LSE)

N/A
Company: iShares STOXX Europe 600 UCITS ETF (DE)
(IQT54842726) - XETRA Trading Platform (XTRA)"
iShares STOXX Europe Large 200 UCITS ETF (DE) (DB:EXSC),DB:EXSC,Financials (Primary),-, 71.49 ,-,-,-,-,-,-,-,Deutsche Boerse AG (DB),"LSE:0MLO
Company: iShares STOXX Europe Large 200 UCITS ETF (DE)
(IQT244589097) - London Stock Exchange (LSE)

XTRA:EXSC
Company: iShares STOXX Europe Large 200 UCITS ETF (DE)
(IQT114129252) - XETRA Trading Platform (XTRA)"
iShares STOXX Europe Mid 200 UCITS ETF (DE) (XTRA:EXSD),XTRA:EXSD,Financials (Primary),-, 89.25 ,-,-,-,-,-,-,-,XETRA Trading Platform (XTRA),"DB:EXSD
Company: iShares STOXX Europe Mid 200 UCITS ETF (DE)
(IQT134347000) - Deutsche Boerse AG (DB)

LSE:0MLP
Company: iShares STOXX Europe Mid 200 UCITS ETF (DE)
(IQT244747481) - London Stock Exchange (LSE)"
iShares STOXX Europe Select Dividend 30 UCITS ETF (DE) (XTRA:EXSH),XTRA:EXSH,Financials (Primary),-, 29.87 ,-,-,-,-,-,-,-,XETRA Trading Platform (XTRA),"DB:EXSH
Company: iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)
(IQT134345794) - Deutsche Boerse AG (DB)

BIT:EXSH
Company: iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)
(IQT243552889) - Borsa Italiana (BIT)

LSE:0MLC
Company: iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)
(IQT244748781) - London Stock Exchange (LSE)"
iShares STOXX Europe Small 200 UCITS ETF (DE) (DB:EXSE),DB:EXSE,Financials (Primary),-, 58.64 ,-,-,-,-,-,-,-,Deutsche Boerse AG (DB),"LSE:0MMG
Company: iShares STOXX Europe Small 200 UCITS ETF (DE)
(IQT244585984) - London Stock Exchange (LSE)

XTRA:EXSE
Company: iShares STOXX Europe Small 200 UCITS ETF (DE)
(IQT114129318) - XETRA Trading Platform (XTRA)"
iShares TecDAX UCITS ETF (DE) (XTRA:EXS2),XTRA:EXS2,Financials (Primary),-, 51.92 ,-,-,-,-,-,-,-,XETRA Trading Platform (XTRA),"DB:EXIB
Company: iShares TecDAX UCITS ETF (DE)
(IQT707143916) - Deutsche Boerse AG (DB)

DB:EXS2
Company: iShares TecDAX UCITS ETF (DE)
(IQT208562206) - Deutsche Boerse AG (DB)

BMV:TDXPEX N
Company: iShares TecDAX UCITS ETF (DE)
(IQT367370808) - Bolsa Mexicana de Valores (BMV)

SWX:TDXPEX
Company: iShares TecDAX UCITS ETF (DE)
(IQT330552405) - SIX Swiss Exchange (SWX)

LSE:0MLM
Company: iShares TecDAX UCITS ETF (DE)
(IQT244588250) - London Stock Exchange (LSE)"
iShares Treasury ETF (ASX:IGB),ASX:IGB,Financials (Primary),-, 111.77 ,-,-,-,-,-,-,-,Australian Securities Exchange (ASX),-
iShares Trust  - iShares ESG Advanced MSCI EM ETF (NasdaqGM:EMXF),NasdaqGM:EMXF,Financials (Primary),-, 62.69 ,-,-,-,-,-,-,-,Nasdaq Global Market (NasdaqGM),-
iShares Trust  - iShares ESG Advanced MSCI USA ETF (NasdaqGM:USXF),NasdaqGM:USXF,Financials (Primary),-, 48.66 ,-,-,-,-,-,-,-,Nasdaq Global Market (NasdaqGM),-
IShares Trust - Electric Vehicle Driving Technology UCITS Fund,-,Financials (Primary),-,-,-,-,-,-,-,-,-,-,"BIT:ECAR
Company: IShares Trust - Electric Vehicle Driving Technology UCITS Fund
(IQT615679280) - Borsa Italiana (BIT)

BMV:ECAR N
Company: IShares Trust - Electric Vehicle Driving Technology UCITS Fund
(IQT628276912) - Bolsa Mexicana de Valores (BMV)

SWX:ECAR
Company: IShares Trust - Electric Vehicle Driving Technology UCITS Fund
(IQT599067652) - SIX Swiss Exchange (SWX)

LSE:ECAR
Company: IShares Trust - Electric Vehicle Driving Technology UCITS Fund
(IQT592818745) - London Stock Exchange (LSE)

XTRA:IEVD
Company: IShares Trust - Electric Vehicle Driving Technology UCITS Fund
(IQT591726701) - XETRA Trading Platform (XTRA)"
iShares Trust - iShares 0-3 Month Treasury Bond ETF (ARCA:SGOV),ARCA:SGOV,Financials (Primary),-, 134.3 ,-,-,-,-,-,-,-,-,"BMV:SGOV *
Company: iShares Trust - iShares 0-3 Month Treasury Bond ETF
(IQT670682104) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares 0-5 Year High Yield Corporate Bond ETF (ARCA:SHYG),ARCA:SHYG,Financials (Primary),-, 61.82 ,-,-,-,-,-,-,-,-,"BMV:SHYG *
Company: iShares Trust - iShares 0-5 Year High Yield Corporate Bond ETF
(IQT311501020) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares 0-5 Year Investment Grade Corporate Bond ETF (NasdaqGM:SLQD),NasdaqGM:SLQD,Financials (Primary),-, 69.57 ,-,-,-,-,-,-,-,Nasdaq Global Market (NasdaqGM),"BMV:SLQD *
Company: iShares Trust - iShares 0-5 Year Investment Grade Corporate Bond ETF
(IQT311501019) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares 0-5 Year TIPS Bond ETF (ARCA:STIP),ARCA:STIP,Financials (Primary),-, 142.54 ,-,-,-,-,-,-,-,-,"BMV:STIP *
Company: iShares Trust - iShares 0-5 Year TIPS Bond ETF
(IQT422114392) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares 1-3 Year International Treasury Bond ETF (NasdaqGM:ISHG),NasdaqGM:ISHG,Financials (Primary),-, 110.87 ,-,-,-,-,-,-,-,Nasdaq Global Market (NasdaqGM),-
iShares Trust - iShares 1-3 Year Treasury Bond ETF (NasdaqGM:SHY),NasdaqGM:SHY,Financials (Primary), 62.5 , 115.67 , 0.998 , 10.9 , 1.69 , 1.06 ,-, 0.009 ,-,Nasdaq Global Market (NasdaqGM),"BMV:SHY *
Company: iShares Trust - iShares 1-3 Year Treasury Bond ETF
(IQT31775288) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares 1-5 Year Investment Grade Corporate Bond ETF (NasdaqGM:IGSB),NasdaqGM:IGSB,Financials (Primary),-, 73.53 ,-,-,-,-,-,-,-,Nasdaq Global Market (NasdaqGM),"BMV:IGSB *
Company: iShares Trust - iShares 1-5 Year Investment Grade Corporate Bond ETF
(IQT79106950) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares 10+ Year Investment Grade Corporate Bond ETF (ARCA:IGLB),ARCA:IGLB,Financials (Primary),-, 93.96 ,-,-,-,-,-,-,-,-,"BMV:IGLB *
Company: iShares Trust - iShares 10+ Year Investment Grade Corporate Bond ETF
(IQT231867438) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares 10-20 Year Treasury Bond ETF (ARCA:TLH),ARCA:TLH,Financials (Primary),-, 196.41 ,-,-,-,-,-,-,-,-,"BMV:TLH *
Company: iShares Trust - iShares 10-20 Year Treasury Bond ETF
(IQT44531753) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares 20+ Year Treasury Bond ETF (NasdaqGM:TLT),NasdaqGM:TLT,Financials (Primary),NM, 192.64 , 0.992 , 14.2 , (6.76)  , 1.11 ,-, 0.015 , 1.47 ,Nasdaq Global Market (NasdaqGM),"BMV:TLT *
Company: iShares Trust - iShares 20+ Year Treasury Bond ETF
(IQT31775286) - Bolsa Mexicana de Valores (BMV)

LSE:0JFU
Company: iShares Trust - iShares 20+ Year Treasury Bond ETF
(IQT550582841) - London Stock Exchange (LSE)"
iShares Trust - iShares 3-7 Year Treasury Bond ETF (NasdaqGM:IEI),NasdaqGM:IEI,Financials (Primary),-, 175.11 ,-,-,-,-,-,-,-,Nasdaq Global Market (NasdaqGM),"BMV:IEI *
Company: iShares Trust - iShares 3-7 Year Treasury Bond ETF
(IQT44531752) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares 5-10 Year Investment Grade Corporate Bond ETF (NasdaqGM:IGIB),NasdaqGM:IGIB,Financials (Primary),-, 81.1 ,-,-,-,-,-,-,-,Nasdaq Global Market (NasdaqGM),"BMV:IGIB *
Company: iShares Trust - iShares 5-10 Year Investment Grade Corporate Bond ETF
(IQT79106951) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares 7-10 Year Treasury Bond ETF (NasdaqGM:IEF),NasdaqGM:IEF,Financials (Primary), 70.0 , 154.75 , 0.993 , 11.3 , 1.13 , 0.957 ,-, 0.011 ,-,Nasdaq Global Market (NasdaqGM),"BMV:IEF *
Company: iShares Trust - iShares 7-10 Year Treasury Bond ETF
(IQT31775287) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares Aaa - A Rated Corporate Bond ETF (ARCA:QLTA),ARCA:QLTA,Financials (Primary),-, 76.2 ,-,-,-,-,-,-,-,-,"BMV:QLTA *
Company: iShares Trust - iShares Aaa - A Rated Corporate Bond ETF
(IQT231867443) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares Asia 50 ETF (NasdaqGM:AIA),NasdaqGM:AIA,Financials (Primary),-, 123.78 ,-,-,-,-,-,-,-,Nasdaq Global Market (NasdaqGM),"BMV:AIA *
Company: iShares Trust - iShares Asia 50 ETF
(IQT100002858) - Bolsa Mexicana de Valores (BMV)"
iShares Trust - iShares Biotechnology ETF (NasdaqGM:IBB),NasdaqGM:IBB,Financials (Primary), 3.9 , 219.36 , 1.08 , 5.0 , 33.8 , 0.994 ,-, 0.007 , 10.3 ,Nasdaq Global Market (NasdaqGM),"BMV:IBB *
Company: iShares Trust - iShares Biotechnology ETF
(IQT54309920) - Bolsa Mexicana de Valores (BMV)

LSE:0JGB
Company: iShares Trust - iShares Biotechnology ETF
(IQT550582839) - London Stock Exchange (LSE)"
